10,2.937,0.0323350515007408,2.958,0.029739610697594,2.946,0.0347051068928544,3.138,0.0480277697448744
30,4.462,0.0301109061083633,4.547,0.0704035983928853,4.577,0.0529255241930688,5.088,0.0785705627657926
50,5.475,0.263027248271607,6.262,0.187486295795482,6.144,0.283321568383191,7.165,0.132182533725989
70,6.153,0.332233184508846,6.717,0.471853319958179,6.744,0.479101009994529,7.537,0.21097919855337
90,7.245,0.287527776435986,7.732,0.409330075991383,7.701,0.289653049162078,9.032,0.312260574947698
110,8.425,0.0961769203083567,8.996,0.347729141079024,8.909,0.192322067838763,10.384,0.225546250492246
130,9.83,0.0679869268479039,10.168,0.100088849417794,10.296,0.105535670641626,11.7,0.246531494494674
150,11.225,0.059488560991916,11.576,0.140412091913608,11.722,0.0961249187255833,13.225,0.246407521530222
170,12.703,0.0397352348538281,13.011,0.0773807326004203,13.153,0.134416434180415,15.05,0.26119384032213
190,14.234,0.0279682359512039,14.465,0.0566176258382103,14.65,0.11916375287813,16.6,0.122836838484588
210,15.729,0.0372528895225293,16.023,0.0811103500725336,16.218,0.0743564986325265,18.457,0.228281015904131
230,17.352,0.10850499220466,17.549,0.0268535120814961,17.749,0.065565912552857,20.15,0.212289111041209
250,18.919,0.0414862761779258,19.174,0.12781931691954,19.336,0.0362705880232944,22.078,0.151862510917679
270,20.609,0.15220235068998,20.793,0.0514349643292924,21.018,0.0547316686713969,23.85,0.214009345590328
290,22.278,0.0541192099802729,22.504,0.0359629438913634,22.713,0.0692900505924981,25.635,0.089721792224632
