10,3394.4546774,36.5854704865967,3370.0941113,34.354604314108,3383.7367548,38.5929044670037,3177.7418447,48.5102547012437,2.937,0.0323350515007408,2.958,0.029739610697594,2.946,0.0347051068928544,3.138,0.0480277697448744
30,6708.9524108,46.507376003834,6583.2930454,104.25980932153,6540.0276022,75.6664175906584,5882.3474244,85.4377658740955,4.462,0.0301109061083633,4.547,0.0704035983928853,4.577,0.0529255241930688,5.088,0.0785705627657926
50,9134.22848,440.340806321526,7977.3047393,241.590449341862,8139.8067447,381.812160180461,6969.3720744,130.123252694823,5.475,0.263027248271607,6.262,0.187486295795482,6.144,0.283321568383191,7.165,0.132182533725989
70,11391.5111747,570.678246721477,10452.0713787,700.178649548447,10413.5805833,703.241597473736,9281.674029,248.362463944216,6.153,0.332233184508846,6.717,0.471853319958179,6.744,0.479101009994529,7.537,0.21097919855337
90,12427.6636443,467.145251934502,11658.1175159,593.307702487268,11689.4874121,420.226183815789,9963.3511916,343.127205781977,7.245,0.287527776435986,7.732,0.409330075991383,7.701,0.289653049162078,9.032,0.312260574947698
110,13045.2175801,146.372874865193,12230.2405953,454.309560872367,12343.5595547,261.472461726427,10588.32541,235.609880147251,8.425,0.0961769203083567,8.996,0.347729141079024,8.909,0.192322067838763,10.384,0.225546250492246
130,13214.4986739,94.1457885613442,12775.3713107,126.668794409494,12617.292089,128.553096744128,11104.811551,231.568436848666,9.83,0.0679869268479039,10.168,0.100088849417794,10.296,0.105535670641626,11.7,0.246531494494674
150,13353.0770343,73.1847829925539,12949.8296686,156.640278240771,12786.9936609,103.877177132351,11337.426147,207.45166169338,11.225,0.059488560991916,11.576,0.140412091913608,11.722,0.0961249187255833,13.225,0.246407521530222
170,13373.0210781,42.7669703337643,13056.644758,77.0827504208113,12915.8097121,131.25508259075,11290.6296883,191.823085428671,12.703,0.0397352348538281,13.011,0.0773807326004203,13.153,0.134416434180415,15.05,0.26119384032213
190,13337.8498384,26.8703664019353,13125.8546593,52.3114941230338,12959.1424938,104.187204052946,11438.0539726,84.8437420557725,14.234,0.0279682359512039,14.465,0.0566176258382103,14.65,0.11916375287813,16.6,0.122836838484588
210,13340.6558298,30.6536918666141,13096.974102,66.5525189124895,12939.6229826,58.1070376740286,11370.402607,140.356857212273,15.729,0.0372528895225293,16.023,0.0811103500725336,16.218,0.0743564986325265,18.457,0.228281015904131
230,13245.8651644,81.4113936923138,13095.9762464,19.4369542450414,12948.7065126,49.192485231214,11407.380846,120.092618295451,17.352,0.10850499220466,17.549,0.0268535120814961,17.749,0.065565912552857,20.15,0.212289111041209
250,13202.8318588,28.817413246734,13027.5840784,85.8552872064161,12919.6623999,24.0465414106233,11315.588685,79.0945119053739,18.919,0.0414862761779258,19.174,0.12781931691954,19.336,0.0362705880232944,22.078,0.151862510917679
270,13091.0211578,95.9277666838973,12974.4340896,31.3290494372502,12836.4148837,32.9273783633386,11313.3978084,99.8639773389364,20.609,0.15220235068998,20.793,0.0514349643292924,21.018,0.0547316686713969,23.85,0.214009345590328
290,13007.5466283,31.9126406943748,12876.8169068,21.3323775821344,12757.2229605,39.1310049389383,11304.4809642,39.7761456341276,22.278,0.0541192099802729,22.504,0.0359629438913634,22.713,0.0692900505924981,25.635,0.089721792224632
